Title,Rate,Rating people,Directors,Script writers,Actors,Genres,Production countries and regions,Languages,Initial release date,Other names,IMDb link
红猪,8.3,92694,"[""宫崎骏""]","[""宫崎骏""]","[""森山周一郎"",""加藤登纪子"",""冈村明美"",""桂三枝"",""上条恒彦"",""大塚明夫"",""关弘子"",""稻垣雅之"",""古本新之辅"",""辻村真人"",""矢田稔""]","[""爱情"",""动画"",""奇幻"",""冒险""]"," 日本"," 日语","[""1992-07-18(日本)""]"," 飞天红猪侠(港) / Porco Rosso / Kurenai no buta",http://www.imdb.com/title/tt0104652
赛德克·巴莱,8.7,96167,"[""魏德圣""]","[""魏德圣""]","[""林庆台"",""马志翔"",""安藤政信"",""河原萨布"",""徐诣帆"",""温岚"",""罗美玲"",""徐若瑄"",""游大庆"",""林源杰""]","[""剧情"",""历史"",""战争""]"," 台湾"," 赛德克语 / 闽南语 / 日语","[""2012-05-10(中国大陆)""]"," 赛德克·巴莱 (上下)合集 / 赛德克·巴莱 剪辑版 / 真正的人 / Warriors of the Rainbow: Seediq Bale",
八恶人,8.3,108044,"[""昆汀·塔伦蒂诺""]","[""昆汀·塔伦蒂诺""]","[""塞缪尔·杰克逊"",""库尔特·拉塞尔"",""詹妮弗·杰森·李"",""沃尔顿·戈金斯"",""德米安·比齐尔"",""蒂姆·罗斯"",""迈克尔·马德森"",""布鲁斯·邓恩"",""詹姆士·帕克斯"",""查宁·塔图姆"",""丹娜·格瑞尔"",""佐伊·贝尔"",""李·霍斯利""]","[""剧情"",""犯罪"",""西部""]"," 美国"," 英语 / 法语 / 西班牙语","[""2015-12-07(洛杉矶首映)"",""2015-12-30(美国)""]"," 冰天血地8恶人(港) / 可憎八人 / The H8ful Eight / The Hateful 8",http://www.imdb.com/title/tt3460252
面纱,8.2,94267,"[""约翰·卡兰""]","[""罗恩·内斯万尼尔"",""威廉·萨默塞特·毛姆""]","[""爱德华·诺顿"",""娜奥米·沃茨"",""托比·琼斯"",""黛安娜·里格"",""黄秋生"",""列维·施瑞博尔"",""朱丽叶·霍兰德"",""艾伦·戴维"",""露西·弗勒"",""玛姬·斯蒂德"",""佐伊·特尔福德"",""夏雨"",""吕燕"",""冯瓅"",""玛丽-洛尔·德库洛"",""凯瑟琳·安"",""李滨"",""洛琳·劳伦斯"",""伊恩·伦威克"",""程思寒"",""亨利·赛洛""]","[""剧情"",""爱情""]"," 美国 / 中国大陆 / 加拿大"," 英语 / 汉语普通话 / 法语","[""2006-12-29(中国大陆)""]"," 爱在遥远的附近(港) / 猜心(台)",http://www.imdb.com/title/tt0446755
攻壳机动队,6.5,109225,"[""鲁伯特·桑德斯""]","[""士郎正宗"",""杰米·莫斯"",""威廉·惠勒"",""伊伦·克鲁格""]","[""斯嘉丽·约翰逊"",""皮鲁·埃斯贝克"",""北野武"",""朱丽叶·比诺什"",""迈克尔·皮特"",""黄经汉"",""丹妮西娅·萨马尔"",""拉札勒斯·雷图勒"",""泉原豊"",""托万达·马尼莫"",""彼得·费迪南多"",""安娜玛丽亚·玛琳卡"",""丹尼尔·亨绍尔"",""安德鲁·斯特林"",""桃井薰"",""查尔斯·欧比"",""福岛莉拉"",""约瑟夫·纳瓦胡"",""迈克尔·维克特""]","[""动作"",""科幻"",""犯罪""]"," 美国"," 英语 / 日语","[""2017-04-07(中国大陆)"",""2017-03-29(法国)"",""2017-03-31(美国)""]"," 攻壳机动队真人版",http://www.imdb.com/title/tt1219827
一树梨花压海棠,8.0,90680,"[""阿德里安·莱恩""]","[""Stephen Schiff"",""弗拉基米尔·纳博科夫""]","[""杰瑞米·艾恩斯"",""梅兰尼·格里菲斯"",""弗兰克·兰格拉"",""多米尼克·斯万"",""苏珊妮·谢泼德"",""Keith Reddin"",""Erin J. Dean"",""Joan Glover"",""Pat Perkins"",""Ed Grady"",""Michael Goodwin"",""安吉拉·佩顿"",""本·西尔弗斯通"",""爱玛·格里菲斯·马琳"",""罗纳德·皮卡普""]","[""剧情"",""爱情"",""情色""]"," 美国 / 法国"," 英语","[""1997-09-27""]"," 洛丽塔 / 禁忌情迷 / 萝莉塔",http://www.imdb.com/title/tt0119558
星际迷航,7.9,99325,"[""J·J·艾布拉姆斯""]","[""罗伯托·奥奇"",""艾里克斯·库兹曼"",""吉恩·罗登贝瑞""]","[""克里斯·派恩"",""扎克瑞·昆图"",""伦纳德·尼莫伊"",""艾瑞克·巴纳"",""布鲁斯·格林伍德"",""卡尔·厄本"",""佐伊·索尔达娜"",""西蒙·佩吉"",""约翰·赵"",""安东·叶利钦"",""本·克劳斯"",""薇诺娜·瑞德"",""克里斯·海姆斯沃斯"",""詹妮弗·莫里森""]","[""动作"",""科幻"",""冒险""]"," 美国 / 德国"," 英语","[""2009-05-15(中国大陆)"",""2009-05-08(美国)""]"," 星际迷航11 / 星际旅行11 / 星空奇遇记(港) / 星际争霸战(台) / 星舰奇航记11 / 星舰迷航记11 / Star Trek XI / Star Trek 11",http://www.imdb.com/title/tt0796366
我愿意,5.8,96594,"[""孙周""]","[""陈彤""]","[""李冰冰"",""孙红雷"",""段奕宏"",""薛佳凝"",""张俪""]","[""喜剧"",""爱情""]"," 中国大陆"," 汉语普通话","[""2012-02-10(中国大陆)""]"," I Do",http://www.imdb.com/title/tt2249207
一个都不能少,7.5,84018,"[""张艺谋""]","[""施祥生""]","[""魏敏芝"",""张慧科"",""田正达"",""高恩满"",""孙志梅"",""冯玉英"",""李凡凡"",""张艺长"",""徐占青"",""刘汉芝"",""马国林"",""武万录"",""刘茹"",""王淑兰"",""付新民"",""白梅""]","[""剧情"",""喜剧""]"," 中国大陆"," 晋语 / 汉语普通话","[""1999-09-07(威尼斯电影节)""]"," Not One Less / 一个也不能少",http://www.imdb.com/title/tt0209189
雷神3：诸神黄昏,7.5,121069,"[""塔伊加·维迪提""]","[""埃里克·皮尔森"",""克雷格·凯尔"",""克里斯托弗·约斯特"",""斯坦·李"",""拉里·利伯"",""杰克·科比""]","[""克里斯·海姆斯沃斯"",""汤姆·希德勒斯顿"",""凯特·布兰切特"",""伊德里斯·艾尔巴"",""杰夫·高布伦"",""泰莎·汤普森"",""卡尔·厄本"",""马克·鲁弗洛"",""安东尼·霍普金斯"",""本尼迪克特·康伯巴奇"",""塔伊加·维迪提"",""瑞切尔·豪斯"",""克兰西·布朗"",""浅野忠信"",""雷·史蒂文森"",""扎克瑞·莱维"",""卢克·海姆斯沃斯"",""马特·达蒙"",""山姆·尼尔"",""夏洛特·尼克道"",""斯坦·李""]","[""动作"",""奇幻"",""冒险""]"," 美国"," 英语","[""2017-11-03(美国/中国大陆)"",""2017-10-24(英国)""]"," 雷神索尔3：诸神黄昏(台) / 雷神奇侠3：诸神黄昏(港) / 雷神3：诸神的黄昏 / Thor 3",http://www.imdb.com/title/tt3501632
使徒行者,6.7,108770,"[""文伟鸿""]","[""关皓月""]","[""张家辉"",""古天乐"",""吴镇宇"",""佘诗曼"",""许绍雄"",""黄长兴"",""朱璇"",""梁琤"",""李光洁"",""张慧雯""]","[""剧情"",""动作"",""犯罪""]"," 中国大陆 / 香港"," 粤语 / 汉语普通话","[""2016-08-11(中国大陆/香港)""]"," 使徒行者电影版 / Line Walker",http://www.imdb.com/title/tt5896962
笑傲江湖2：东方不败,8.3,86853,"[""程小东""]","[""徐克"",""邓碧燕"",""陈天璇""]","[""李连杰"",""林青霞"",""关之琳"",""李嘉欣"",""李子雄"",""余安安"",""袁洁莹"",""刘洵"",""任世官"",""钱嘉乐""]","[""动作"",""武侠"",""古装""]"," 香港"," 粤语","[""1992-06-26(香港)""]"," 笑傲江湖之东方不败 / Swordsman 2",http://www.imdb.com/title/tt0103295
摩登时代,9.2,91681,"[""查理·卓别林""]","[""查理·卓别林""]","[""查理·卓别林"",""宝莲·高黛"",""亨利·伯格曼"",""Tiny Sandford"",""切斯特·康克林""]","[""剧情"",""喜剧"",""爱情""]"," 美国"," 英语","[""1936-02-25(美国)""]"," The Masses / Temps modernes, Les",http://www.imdb.com/title/tt0027977
想爱就爱,7.5,90881,"[""萨拉萨瓦蒂·翁索姆佩奇""]","[""Arthur F. Goodrich""]","[""苏查拉·玛娜英"",""素帕娜·吉塔勒拉"",""阿丽莎拉·翁差丽"",""素帕娜·吉塔勒拉""]","[""喜剧"",""爱情"",""同性""]"," 泰国"," 泰语","[""2010-12-16(泰国)""]"," 拉小手(台) / 是否敢爱 / 我的同居密友 / Yes or No",http://www.imdb.com/title/tt1906518
人生遥控器,7.7,92143,"[""弗兰克·克拉斯""]","[""Steve Koren"",""Mark O'Keefe""]","[""亚当·桑德勒"",""凯特·贝金赛尔"",""克里斯托弗·沃肯"",""西恩·奥斯汀"",""乔纳·希尔""]","[""剧情"",""喜剧"",""家庭"",""奇幻""]"," 美国"," 英语","[""2007-04-20(中国大陆)"",""2006-06-23(美国)""]"," 命运好好玩(台) / 命运自选台 / 神奇遥控器",http://www.imdb.com/title/tt0389860
安德的游戏,6.9,102472,"[""加文·胡德""]","[""加文·胡德"",""奥森·斯科特·卡德""]","[""阿萨·巴特菲尔德"",""哈里森·福特"",""海莉·斯坦菲尔德"",""阿比盖尔·布蕾斯琳"",""本·金斯利"",""维奥拉·戴维斯"",""阿拉米斯·奈特"",""莫伊塞斯·阿里亚斯"",""吉米·贾克斯·平查克"",""侬索·阿诺斯"",""康纳·卡罗尔""]","[""动作"",""科幻"",""冒险""]"," 美国"," 英语","[""2014-01-07(中国大陆)"",""2013-10-24(德国)"",""2013-11-01(美国)""]"," 宇宙生还战：安达的战争游戏(港) / 战争游戏(台)",http://www.imdb.com/title/tt1731141
康斯坦丁,7.7,94577,"[""弗朗西斯·劳伦斯""]","[""Kevin Brodbin"",""Frank A. Cappello"",""Jamie Delano"",""加思·恩尼斯""]","[""基努·里维斯"",""蕾切尔·薇兹"",""希亚·拉博夫"",""杰曼·翰苏"",""蒂尔达·斯文顿"",""艾普尔·格雷斯""]","[""动作"",""惊悚"",""奇幻""]"," 美国 / 德国"," 英语 / 菲律宾语 / 塔加路族语","[""2005-02-18(美国)""]"," 地狱神探 / 魔间行者 / 康斯坦汀：驱魔神探",http://www.imdb.com/title/tt0360486
