Title,Rate,Rating people,Directors,Script writers,Actors,Genres,Production countries and regions,Languages,Initial release date,Other names,IMDb link
肖申克的救赎,9.6,947786,"[""弗兰克·德拉邦特""]","[""弗兰克·德拉邦特"",""斯蒂芬·金""]","[""蒂姆·罗宾斯"",""摩根·弗里曼"",""鲍勃·冈顿"",""威廉姆·赛德勒"",""克兰西·布朗"",""吉尔·贝罗斯"",""马克·罗斯顿"",""詹姆斯·惠特摩"",""杰弗里·德曼"",""拉里·布兰登伯格"",""尼尔·吉恩托利"",""布赖恩·利比"",""大卫·普罗瓦尔"",""约瑟夫·劳格诺"",""祖德·塞克利拉""]","[""剧情"",""犯罪""]"," 美国"," 英语","[""1994-09-10(多伦多电影节)"",""1994-10-14(美国)""]"," 月黑高飞(港) / 刺激1995(台) / 地狱诺言 / 铁窗岁月 / 消香克的救赎",http://www.imdb.com/title/tt0111161
这个杀手不太冷,9.4,897732,"[""吕克·贝松""]","[""吕克·贝松""]","[""让·雷诺"",""娜塔莉·波特曼"",""加里·奥德曼"",""丹尼·爱罗"",""彼得·阿佩尔"",""迈克尔·巴达鲁科"",""艾伦·格里尼"",""伊丽莎白·瑞根"",""卡尔·马图斯维奇"",""弗兰克·赛格"",""麦温"",""乔治·马丁"",""罗伯特·拉萨多"",""亚当·布斯奇"",""马里奥·托迪斯科"",""萨米·纳塞利""]","[""剧情"",""动作"",""犯罪""]"," 法国"," 英语 / 意大利语 / 法语","[""1994-09-14(法国)""]"," 杀手莱昂 / 终极追杀令(台) / 杀手里昂 / Leon / Leon: The Professional",http://www.imdb.com/title/tt0110413
阿甘正传,9.4,763366,"[""罗伯特·泽米吉斯""]","[""艾瑞克·罗斯"",""Winston Groom""]","[""汤姆·汉克斯"",""罗宾·怀特"",""加里·西尼斯"",""麦凯尔泰·威廉逊"",""莎莉·菲尔德"",""Michael Conner Humphreys"",""海利·乔·奥斯蒙""]","[""剧情"",""爱情""]"," 美国"," 英语","[""1994-06-23(洛杉矶首映)"",""1994-07-06(美国)""]"," 福雷斯特·冈普",http://www.imdb.com/title/tt0109830
盗梦空间,9.3,809414,"[""克里斯托弗·诺兰""]","[""克里斯托弗·诺兰""]","[""莱昂纳多·迪卡普里奥"",""约瑟夫·高登-莱维特"",""艾伦·佩吉"",""汤姆·哈迪"",""渡边谦"",""迪利普·劳"",""基里安·墨菲"",""汤姆·贝伦杰"",""玛丽昂·歌迪亚"",""皮特·波斯尔思韦特"",""迈克尔·凯恩"",""卢卡斯·哈斯"",""李太力"",""克莱尔·吉尔蕾"",""马格努斯·诺兰"",""泰勒·吉蕾"",""乔纳森·吉尔"",""水源士郎"",""冈本玉二"",""厄尔·卡梅伦"",""瑞恩·海沃德"",""米兰达·诺兰"",""拉什·费加"",""蒂姆·科勒赫"",""妲露拉·莱莉""]","[""剧情"",""动作"",""科幻"",""悬疑"",""冒险""]"," 美国 / 英国"," 英语 / 日语 / 法语","[""2010-09-01(中国大陆)"",""2010-07-08(伦敦首映)"",""2010-07-16(美国)""]"," 潜行凶间(港) / 全面启动(台) / 奠基 / 心灵犯案 / 记忆迷阵 / 记忆魔方",http://www.imdb.com/title/tt1375666
泰坦尼克号,9.2,704201,"[""詹姆斯·卡梅隆""]","[""詹姆斯·卡梅隆""]","[""莱昂纳多·迪卡普里奥"",""凯特·温丝莱特"",""比利·赞恩"",""凯西·贝茨"",""弗兰西丝·费舍"",""格劳瑞亚·斯图尔特"",""比尔·帕克斯顿"",""伯纳德·希尔"",""大卫·沃纳"",""维克多·加博"",""乔纳森·海德"",""苏茜·爱米斯"",""刘易斯·阿伯内西"",""尼古拉斯·卡斯柯恩"",""阿那托利·萨加洛维奇"",""丹尼·努齐"",""杰森·贝瑞"",""伊万·斯图尔特"",""艾恩·格拉法德"",""乔纳森·菲利普斯"",""马克·林赛·查普曼"",""理查德·格拉翰"",""保罗·布赖特威尔"",""艾瑞克·布里登"",""夏洛特·查顿"",""博纳德·福克斯"",""迈克尔·英塞恩"",""法妮·布雷特"",""马丁·贾维斯"",""罗莎琳·艾尔斯"",""罗切尔·罗斯"",""乔纳森·伊万斯-琼斯"",""西蒙·克雷恩"",""爱德华德·弗莱彻"",""斯科特·安德森"",""马丁·伊斯特"",""克雷格·凯利"",""格雷戈里·库克"",""利亚姆·图伊"",""詹姆斯·兰开斯特"",""艾尔莎·瑞雯"",""卢·帕尔特"",""泰瑞·佛瑞斯塔"",""凯文·德·拉·诺伊""]","[""剧情"",""爱情"",""灾难""]"," 美国"," 英语 / 意大利语 / 德语 / 俄语","[""1998-04-03(中国大陆)"",""1997-11-01(东京电影节)"",""1997-12-19(美国)""]"," 铁达尼号(港/台)",http://www.imdb.com/title/tt0120338
千与千寻,9.2,713362,"[""宫崎骏""]","[""宫崎骏""]","[""柊瑠美"",""入野自由"",""夏木真理"",""菅原文太"",""内藤刚志"",""神木隆之介"",""泽口靖子"",""我修院达也""]","[""剧情"",""动画"",""奇幻""]"," 日本"," 日语","[""2001-07-20(日本)""]"," 神隐少女(台) / Spirited Away / A Voyage of Chihiro / Sen to Chihiro no kamikakushi",http://www.imdb.com/title/tt0245429
三傻大闹宝莱坞,9.1,719842,"[""拉吉库马尔·希拉尼""]","[""维德胡·维诺德·乔普拉"",""拉吉库马尔·希拉尼"",""阿西奇·乔希""]","[""阿米尔·汗"",""卡琳娜·卡普尔"",""马达范"",""沙尔曼·乔希"",""奥米·瓦依达"",""博曼·伊拉尼"",""莫娜·辛格"",""拉杰夫·拉宾德拉纳特安""]","[""剧情"",""喜剧"",""爱情"",""歌舞""]"," 印度"," 印地语 / 乌尔都语 / 英语","[""2011-12-08(中国大陆)"",""2009-12-25(印度)""]"," 三个傻瓜(台) / 作死不离3兄弟(港) / 三个白痴 / 三个傻蛋 / 三个呆瓜 / 三生万悟 / 寻找兰彻 / Three Idiots",http://www.imdb.com/title/tt1187043
霸王别姬,9.5,686680,"[""陈凯歌""]","[""芦苇"",""李碧华""]","[""张国荣"",""张丰毅"",""巩俐"",""葛优"",""英达"",""蒋雯丽"",""吴大维"",""吕齐"",""雷汉"",""尹治"",""马明威"",""费振翔"",""智一桐"",""李春"",""赵海龙"",""李丹"",""童弟"",""沈慧芬"",""黄斐""]","[""剧情"",""爱情"",""同性""]"," 中国大陆 / 香港"," 汉语普通话","[""1993-01-01(香港)""]"," 再见，我的妾 / Farewell My Concubine",http://www.imdb.com/title/tt0106332
让子弹飞,8.7,643676,"[""姜文""]","[""朱苏进"",""述平"",""姜文"",""郭俊立"",""危笑"",""李不空"",""马识途""]","[""姜文"",""葛优"",""周润发"",""刘嘉玲"",""陈坤"",""张默"",""姜武"",""周韵"",""廖凡"",""姚橹"",""邵兵"",""苗圃"",""冯小刚"",""胡军"",""马珂"",""白冰"",""杜奕衡"",""李静"",""胡明"",""危笑"",""杨奇雨"",""赵铭""]","[""剧情"",""喜剧"",""动作"",""西部""]"," 中国大陆 / 香港"," 汉语普通话 / 四川话 / 山西话","[""2010-12-16(中国大陆)""]"," 让子弹飞一会儿 / 火烧云 / Let The Bullets Fly",http://www.imdb.com/title/tt1533117
海上钢琴师,9.2,629416,"[""朱塞佩·托纳多雷""]","[""亚利桑德罗·巴里克"",""朱塞佩·托纳多雷""]","[""蒂姆·罗斯"",""普路特·泰勒·文斯"",""比尔·努恩"",""梅兰尼·蒂埃里"",""阿尔贝托·巴斯克斯""]","[""剧情"",""音乐""]"," 意大利"," 英语 / 法语","[""1998-10-28(意大利)""]"," 声光伴我飞(港) / 一九零零的传奇 / 1900海上钢琴师 / 传奇1900 / The Legend of 1900",http://www.imdb.com/title/tt0120731
当幸福来敲门,8.9,572813,"[""加布里埃莱·穆奇诺""]","[""斯蒂夫·康拉德""]","[""威尔·史密斯"",""贾登·史密斯"",""坦迪·牛顿"",""布莱恩·豪威 "",""詹姆斯·凯伦"",""丹·卡斯泰兰尼塔"",""柯特·富勒"",""塔卡尤·费舍尔"",""凯文·韦斯特"",""乔治·张"",""戴维·迈克尔·西尔弗曼"",""多米尼克·博夫"",""杰弗·卡伦"",""乔伊芙·拉文"",""斯科特·克拉斯""]","[""剧情"",""家庭"",""传记""]"," 美国"," 英语 / 粤语","[""2008-01-17(中国大陆)"",""2006-12-15(美国)""]"," 寻找快乐的故事(港) / 追求快乐 / 幸福追击",http://www.imdb.com/title/tt0454921
少年派的奇幻漂流,9.0,610080,"[""李安""]","[""扬·马特尔"",""大卫·麦基""]","[""苏拉·沙玛"",""拉菲·斯波"",""伊尔凡·可汗"",""热拉尔·德帕迪约"",""塔布"",""阿迪勒·侯赛因"",""阿尤什·坦东"",""王柏杰"",""俊·奈托""]","[""剧情"",""奇幻"",""冒险""]"," 美国 / 台湾 / 英国 / 加拿大"," 英语 / 泰米尔语 / 法语 / 日语 / 印地语 / 汉语普通话","[""2012-11-22(中国大陆)"",""2012-09-28(纽约电影节)"",""2012-11-21(美国)""]"," 少年Pi的奇幻漂流 / 漂流少年Pi",http://www.imdb.com/title/tt0454876
怦然心动,8.9,589346,"[""罗伯·莱纳""]","[""罗伯·莱纳"",""安德鲁·沙因曼"",""文德琳·范·德拉安南""]","[""玛德琳·卡罗尔"",""卡兰·麦克奥利菲"",""瑞贝卡·德·莫妮"",""安东尼·爱德华兹"",""约翰·马奥尼"",""佩内洛普·安·米勒"",""艾丹·奎因"",""凯文·韦斯曼"",""摩根·莉莉"",""肖恩·哈珀"",""瑞安·克茨纳"",""吉莉安·普法夫"",""迈克尔·博萨"",""博·勒纳"",""杰奎琳·埃沃拉"",""泰勒·格鲁秀斯""]","[""剧情"",""喜剧"",""爱情""]"," 美国"," 英语","[""2010-08-06(美国)""]"," 萌动青春 / 青春萌动 / 冒失 / 梧桐树之恋",http://www.imdb.com/title/tt0817177
阿凡达,8.6,540411,"[""詹姆斯·卡梅隆""]","[""詹姆斯·卡梅隆""]","[""萨姆·沃辛顿"",""佐伊·索尔达娜"",""西格妮·韦弗"",""史蒂芬·朗"",""米歇尔·罗德里格兹"",""乔·大卫·摩尔 "",""吉奥瓦尼·瑞比西""]","[""动作"",""科幻"",""奇幻"",""冒险""]"," 美国 / 英国"," 英语 / 西班牙语","[""2010-01-04(中国大陆)"",""2009-12-18(美国)""]"," 天神下凡 / 化身 / 异次元战神 / 神之化身",http://www.imdb.com/title/tt0499549
剪刀手爱德华,8.7,501846,"[""蒂姆·波顿""]","[""卡罗琳·汤普森"",""蒂姆·波顿""]","[""约翰尼·德普"",""薇诺娜·瑞德"",""黛安·韦斯特"",""安东尼·迈克尔·豪尔"",""凯西·贝克"",""罗伯特·奥利维里"",""康查塔·费雷尔"",""卡罗琳·阿隆"",""迪克·安东尼·威廉姆斯"",""澳澜·琼斯"",""文森特·普莱斯"",""艾伦·阿金"",""苏珊·布洛马特"",""Linda Perri"",""约翰·戴维森""]","[""剧情"",""爱情"",""奇幻""]"," 美国"," 英语","[""1990-12-06(美国)""]"," 幻海奇缘(港)",http://www.imdb.com/title/tt0099487
天使爱美丽,8.7,500035,"[""让-皮埃尔·热内""]","[""纪尧姆·洛朗"",""让-皮埃尔·热内""]","[""奥黛丽·塔图"",""马修·卡索维茨"",""吕菲斯"",""洛莱拉·克拉沃塔"",""塞尔日·梅兰"",""贾梅尔·杜布兹"",""克洛蒂尔德·莫勒"",""克莱尔·莫里耶"",""伊莎贝尔·南蒂"",""多米尼克·皮侬"",""阿尔蒂斯·德·彭居埃恩"",""友兰达·梦露"",""于尔班·康塞利埃"",""莫里斯·贝尼舒"",""米歇尔·罗班"",""安德烈·达芒"",""克洛德·佩隆"",""阿尔梅尔"",""迪基·奥尔加多"",""Kevin Fernandes"",""弗洛拉·吉耶"",""阿莫里·巴博尔"",""欧仁·贝蒂埃"",""让·达里"",""马克·阿米约""]","[""喜剧"",""爱情""]"," 法国 / 德国"," 法语 / 俄语","[""2001-04-25(法国)"",""2001-08-16(德国)""]"," 艾蜜莉的异想世界(台) / 天使艾米莉 / 天使艾美丽 / 阿梅丽的奇妙命运 / 艾蜜丽 / Amelie",http://www.imdb.com/title/tt0211915
大话西游之大圣娶亲,9.2,524671,"[""刘镇伟""]","[""刘镇伟"",""吴承恩""]","[""周星驰"",""吴孟达"",""朱茵"",""蔡少芬"",""蓝洁瑛"",""莫文蔚"",""罗家英"",""刘镇伟"",""陆树铭"",""李健仁""]","[""喜剧"",""爱情"",""奇幻"",""冒险""]"," 香港 / 中国大陆"," 粤语 / 汉语普通话","[""2014-10-24(中国大陆)"",""2017-04-13(中国大陆重映)"",""1995-02-04(香港)""]"," 西游记完结篇仙履奇缘 / 齐天大圣西游记 / 大话东游之二 / A Chinese Odyssey Part Two - Cinderella",http://www.imdb.com/title/tt0114996
飞屋环游记,8.9,525551,"[""彼特·道格特"",""鲍勃·彼德森""]","[""保伯·彼得森"",""彼特·道格特"",""汤姆·麦卡锡""]","[""爱德华·阿斯纳"",""克里斯托弗·普卢默"",""乔丹·长井"",""鲍勃·彼德森"",""戴尔里·林多"",""杰罗姆·兰福特"",""约翰·拉岑贝格"",""大卫·卡耶"",""艾丽·道克特"",""杰里米·利里"",""米凯·麦高万"",""丹尼·曼恩"",""唐纳德·富利洛夫"",""杰斯·哈梅尔"",""乔什·库雷"",""彼特·道格特""]","[""剧情"",""喜剧"",""动画"",""冒险""]"," 美国"," 英语","[""2009-08-04(中国大陆)"",""2009-05-13(戛纳电影节)"",""2009-05-29(美国)""]"," 冲天救兵(港) / 天外奇迹(台) / 飞屋历险记",http://www.imdb.com/title/tt1049413
机器人总动员,9.3,530113,"[""安德鲁·斯坦顿""]","[""安德鲁·斯坦顿"",""吉姆·里尔顿"",""彼特·道格特""]","[""本·贝尔特"",""艾丽莎·奈特"",""杰夫·格尔林"",""佛莱德·威拉特""]","[""喜剧"",""爱情"",""科幻"",""动画"",""冒险""]"," 美国"," 英语","[""2008-06-27(美国)""]"," 瓦力(台) / 太空奇兵·威E(港) / 星际总动员 / 地球废品分装员 / 机器人瓦力 / walle",http://www.imdb.com/title/tt0910970
那些年，我们一起追的女孩,8.1,509041,"[""九把刀""]","[""九把刀""]","[""柯震东"",""陈妍希"",""敖犬"",""郝劭文"",""蔡昌宪"",""侯彦西"",""弯弯"",""邱彦翔"",""王彩桦"",""柯义浤"",""黄逸祥"",""李凤新"",""黄柏钧"",""赖雅妍"",""高丽红"",""李维维"",""严艺文"",""蔡武雄""]","[""剧情"",""喜剧"",""爱情""]"," 台湾"," 汉语普通话","[""2012-01-06(中国大陆)"",""2011-08-19(台湾)"",""2011-10-20(香港)""]"," You Are the Apple of My Eye",http://www.imdb.com/title/tt2036416
放牛班的春天,9.2,483339,"[""克里斯托夫·巴拉蒂""]","[""Georges Chaperot"",""勒·惠勒""]","[""热拉尔·朱尼奥"",""让-巴蒂斯特·莫尼耶"",""弗朗索瓦·贝莱昂"",""凯德·麦拉德"",""玛丽·布奈尔"",""马科森斯·珀林"",""让-保罗·博奈雷"",""格雷戈里·加迪诺尔"",""托马斯·布伦门塔尔"",""Cyril Bernicot"",""Simon Fargeot"",""Théodule Carré-Cassaigne"",""Philippe du Janerand"",""卡罗尔·韦斯"",""Erick Desmarestz""]","[""剧情"",""音乐""]"," 法国 / 瑞士 / 德国"," 法语","[""2004-10-16(中国大陆)"",""2004-03-17(法国)""]"," 歌声伴我心(港) / 唱诗班男孩 / The Chorus",http://www.imdb.com/title/tt0372824
楚门的世界,9.1,491817,"[""彼得·威尔""]","[""安德鲁·尼科尔""]","[""金·凯瑞"",""劳拉·琳妮"",""艾德·哈里斯"",""诺亚·艾默里奇"",""娜塔莎·麦克艾霍恩""]","[""剧情"",""科幻""]"," 美国"," 英语","[""1998-06-05(美国)""]"," 真人Show(港) / 真人戏 / 真人世界 / 楚门秀",http://www.imdb.com/title/tt0120382
忠犬八公的故事,9.2,492435,"[""拉斯·霍尔斯道姆""]","[""斯蒂芬·P·林赛"",""新藤兼人""]","[""理查·基尔"",""萨拉·罗默尔"",""琼·艾伦"",""罗比·萨布莱特"",""艾瑞克·阿瓦利"",""田川洋行"",""杰森·亚历山大"",""罗伯特·卡普荣""]","[""剧情""]"," 美国 / 英国"," 英语 / 日语","[""2009-06-13(西雅图电影节)"",""2010-03-12(英国)""]"," 忠犬小八(台) / 秋田犬八千(港) / 忠犬传奇",http://www.imdb.com/title/tt1028532
初恋这件小事,8.3,458290,"[""普特鹏·普罗萨卡·那·萨克那卡林"",""华森·波克彭""]","[""普特鹏·普罗萨卡·那·萨克那卡林""]","[""平采娜·乐维瑟派布恩"",""马里奥·毛瑞尔"",""苏达拉·布查蓬"",""雅尼卡·桑普蕾舞"",""诺特·阿查拉那·阿瑞亚卫考"",""皮拉瓦特·赫拉巴特"",""普特鹏·普罗萨卡·那·萨克那卡林"",""华森·波克彭""]","[""剧情"",""喜剧"",""爱情""]"," 泰国"," 泰语 / 印度尼西亚语 / 英语","[""2012-06-05(中国大陆)"",""2010-08-12(泰国)""]"," 初恋那件小事(港) / 暗恋那点小事 / 叫做爱的小事 / Sing lek lek tee reak wa rak / A Little Thing Called Love / First Love",http://www.imdb.com/title/tt1859438
七宗罪,8.7,451136,"[""大卫·芬奇""]","[""安德鲁·凯文·沃克""]","[""摩根·弗里曼"",""布拉德·皮特"",""凯文·史派西"",""格温妮斯·帕特洛"",""安德鲁·凯文·沃克"",""约翰·卡西尼"",""雷格·E·凯蒂"",""李·厄米""]","[""剧情"",""悬疑"",""惊悚"",""犯罪""]"," 美国"," 英语 / 葡萄牙语","[""1995-09-22(美国)""]"," 火线追缉令 / 7宗罪 / Seven",http://www.imdb.com/title/tt0114369
疯狂动物城,9.2,535523,"[""拜伦·霍华德"",""瑞奇·摩尔"",""杰拉德·布什""]","[""拜伦·霍华德"",""瑞奇·摩尔"",""杰拉德·布什"",""吉姆·里尔顿"",""乔西·特立尼达"",""菲尔·约翰斯顿"",""珍妮弗·李""]","[""金妮弗·古德温"",""杰森·贝特曼"",""伊德里斯·艾尔巴"",""珍妮·斯蕾特"",""内特·托伦斯"",""邦尼·亨特"",""唐·雷克"",""汤米·钟"",""J·K·西蒙斯"",""奥克塔维亚·斯宾瑟"",""艾伦·图代克"",""夏奇拉"",""雷蒙德·S·佩尔西"",""德拉·萨巴"",""莫里斯·拉马奇"",""菲尔·约翰斯顿"",""约翰·迪·玛吉欧"",""凯蒂·洛斯"",""吉塔·雷迪"",""杰西·科尔蒂"",""汤米·利斯特"",""乔希·达拉斯"",""瑞奇·摩尔"",""凯斯·索西"",""彼得·曼斯布里奇"",""拜伦·霍华德"",""杰拉德·布什"",""马克·史密斯"",""乔西·特立尼达"",""约翰·拉维尔"",""克里斯汀·贝尔"",""吉尔·科德斯"",""梅利莎·古德温""]","[""喜剧"",""动画"",""冒险""]"," 美国"," 英语 / 挪威语","[""2016-03-04(中国大陆/美国)""]"," 优兽大都会(港) / 动物方城市(台) / 动物乌托邦 / 动物大都会 / Zootropolis",http://www.imdb.com/title/tt2948356
星际穿越,9.1,520322,"[""克里斯托弗·诺兰""]","[""乔纳森·诺兰"",""克里斯托弗·诺兰""]","[""马修·麦康纳"",""安妮·海瑟薇"",""杰西卡·查斯坦"",""卡西·阿弗莱克"",""迈克尔·凯恩"",""马特·达蒙"",""麦肯吉·弗依"",""蒂莫西·柴勒梅德"",""艾伦·伯斯汀"",""约翰·利思戈"",""韦斯·本特利"",""大卫·吉雅西"",""比尔·欧文"",""托弗·戈瑞斯"",""科莱特·沃夫"",""弗朗西斯·X·麦卡蒂"",""安德鲁·博尔巴"",""乔什·斯图沃特"",""莱雅·卡里恩斯"",""利亚姆·迪金森"",""杰夫·赫普内尔"",""伊莱耶斯·加贝尔"",""布鲁克·史密斯"",""大卫·奥伊罗"",""威廉姆·德瓦内"",""拉什·费加"",""格里芬·弗雷泽"",""弗洛拉·诺兰""]","[""剧情"",""科幻"",""冒险""]"," 美国 / 英国 / 加拿大 / 冰岛"," 英语","[""2014-11-12(中国大陆)"",""2014-11-07(美国)""]"," 星际启示录(港) / 星际效应(台) / 星际空间 / 星际之间 / 星际远航 / 星际 / Flora's Letter",http://www.imdb.com/title/tt0816692
龙猫,9.1,446096,"[""宫崎骏""]","[""宫崎骏""]","[""日高法子"",""坂本千夏"",""糸井重里"",""岛本须美"",""北林谷荣"",""高木均"",""雨笠利幸"",""丸山裕子"",""广濑正志"",""鹫尾真知子"",""铃木玲子"",""千叶繁"",""龙田直树"",""鳕子"",""西村朋纮"",""石田光子"",""神代知衣"",""中村大树"",""水谷优子"",""平松晶子"",""大谷育江""]","[""动画"",""家庭"",""儿童"",""奇幻""]"," 日本"," 日语","[""1988-04-16(日本)""]"," 邻家的豆豆龙 / 隔壁的特特罗 / Tonari no Totoro / My Neighbor Totoro",http://www.imdb.com/title/tt0096283
美丽人生,9.5,446222,"[""罗伯托·贝尼尼""]","[""温琴佐·切拉米"",""罗伯托·贝尼尼""]","[""罗伯托·贝尼尼"",""尼可莱塔·布拉斯基"",""乔治·坎塔里尼"",""朱斯蒂诺·杜拉诺"",""赛尔乔·比尼·布斯特里克"",""玛丽萨·帕雷德斯"",""霍斯特·布赫霍尔茨"",""利迪娅·阿方西"",""朱利亚娜·洛约迪切"",""亚美利哥·丰塔尼"",""彼得·德·席尔瓦"",""弗朗西斯·古佐"",""拉法埃拉·莱博罗尼"",""克劳迪奥·阿方西"",""吉尔·巴罗尼"",""马西莫·比安奇"",""恩尼奥·孔萨尔维"",""吉安卡尔洛·科森蒂诺"",""阿伦·克雷格""]","[""剧情"",""喜剧"",""爱情"",""战争""]"," 意大利"," 意大利语 / 德语 / 英语","[""1997-12-20(意大利)""]"," 一个快乐的传说(港) / Life Is Beautiful",http://www.imdb.com/title/tt0118799
无间道,9.0,428423,"[""刘伟强"",""麦兆辉""]","[""麦兆辉"",""庄文强""]","[""刘德华"",""梁朝伟"",""黄秋生"",""曾志伟"",""郑秀文"",""陈慧琳"",""陈冠希"",""余文乐"",""杜汶泽"",""林家栋"",""萧亚轩""]","[""剧情"",""悬疑"",""犯罪""]"," 香港"," 粤语","[""2003-09-05(中国大陆)"",""2002-12-12(香港)""]"," Infernal Affairs / Mou gaan dou",http://www.imdb.com/title/tt0338564
大话西游之月光宝盒,8.9,423417,"[""刘镇伟""]","[""刘镇伟"",""吴承恩""]","[""周星驰"",""吴孟达"",""罗家英"",""蓝洁瑛"",""莫文蔚"",""江约诚"",""陆树铭"",""刘镇伟"",""朱茵"",""李健仁""]","[""喜剧"",""动作"",""爱情"",""奇幻"",""冒险"",""古装""]"," 香港 / 中国大陆"," 粤语 / 汉语普通话","[""2014-10-24(中国大陆)"",""1995-01-21(香港)""]"," 西游记101回月光宝盒 / 齐天大圣东游记 / 大话东游之一 / A Chinese Odyssey Part One - Pandora's Box",http://www.imdb.com/title/tt0112778
罗马假日,8.9,406129,"[""威廉·惠勒""]","[""达尔顿·特朗勃"",""伊安·麦克莱伦·亨特"",""约翰·戴顿""]","[""奥黛丽·赫本"",""格利高里·派克"",""埃迪·艾伯特"",""哈特利·鲍尔"",""哈考特·威廉姆斯""]","[""剧情"",""喜剧"",""爱情""]"," 美国"," 英语 / 意大利语 / 德语","[""1953-09-02(美国)""]"," 金枝玉叶(港) / 罗马假期(台)",http://www.imdb.com/title/tt0046250
V字仇杀队,8.8,439232,"[""詹姆斯·麦克特格""]","[""莉莉·沃卓斯基"",""拉娜·沃卓斯基""]","[""娜塔莉·波特曼"",""雨果·维文"",""斯蒂芬·瑞"",""斯蒂芬·弗雷"",""约翰·赫特"",""蒂姆·皮戈特-史密斯"",""鲁珀特·格雷夫斯"",""罗杰·阿拉姆"",""本·迈尔斯"",""西妮德·库萨克"",""娜塔莎·怀特曼"",""约翰·斯坦丁"",""埃迪·马森"",""克里夫·阿什伯恩"",""Emma Field-Rayner"",""伊安·布尔费尔德"",""Mark Phoenix"",""Alister Mazzotti"",""比莉·库克"",""盖伊·亨利"",""科斯马·肖"",""Megan Gay"",""Roderic Culver"",""Tara Hacking"",""安迪·莱什利兹"",""查德·史塔赫斯基"",""布拉德利·斯蒂夫·福特"",""Madeleine Rakic-Platt"",""塞丽娜·贾尔斯"",""卡斯腾·海斯"",""伊莫琴·普茨"",""劳拉·格林伍德"",""Kyra Meyer"",""玛丽·萧克莱 "",""理查德·莱恩"",""Michael Simkins""]","[""剧情"",""动作"",""科幻"",""惊悚""]"," 美国 / 英国 / 德国"," 英语","[""2005-12-11(BNAT电影节)"",""2006-03-17(美国)""]"," V煞(港) / V怪客(台) / 复仇者V / V字仇杀令 / V字别动队",http://www.imdb.com/title/tt0434409
辛德勒的名单,9.4,408369,"[""史蒂文·斯皮尔伯格""]","[""托马斯·肯尼利"",""斯蒂文·泽里安""]","[""连姆·尼森"",""本·金斯利"",""拉尔夫·费因斯"",""卡罗琳·古多尔"",""乔纳森·萨加尔"",""艾伯丝·戴维兹"",""马尔戈萨·格贝尔"",""马克·伊瓦涅"",""碧翠斯·马科拉"",""安德烈·瑟韦林"",""弗里德里希·冯·图恩"",""克齐斯茨托夫·拉夫特"",""诺伯特·魏塞尔""]","[""剧情"",""历史"",""战争""]"," 美国"," 英语 / 希伯来语 / 德语 / 波兰语","[""1993-11-30(华盛顿首映)"",""1994-02-04(美国)""]"," 舒特拉的名单(港) / 辛德勒名单",http://www.imdb.com/title/tt0108052
黑天鹅,8.5,422947,"[""达伦·阿伦诺夫斯基""]","[""安德雷斯·海因斯"",""马克·海曼"",""约翰·J·麦克劳克林""]","[""娜塔莉·波特曼"",""米拉·库尼斯"",""文森特·卡索"",""芭芭拉·赫希"",""薇诺娜·瑞德"",""本杰明·米派德"",""克塞尼亚·索罗"",""克里斯汀娜·安娜波"",""詹妮特·蒙哥马利"",""塞巴斯蒂安·斯坦"",""托比·海明威"",""塞尔吉奥·托拉多"",""马克·马戈利斯"",""蒂娜·斯隆"",""亚伯拉罕·阿罗诺夫斯基"",""夏洛特·阿罗诺夫斯基"",""玛西娅·让·库尔茨"",""肖恩·奥哈根"",""克里斯托弗·加廷"",""黛博拉·奥夫纳"",""斯坦利·B·赫尔曼"",""库尔特·弗勒曼"",""帕特里克·赫辛格"",""莎拉·海伊""]","[""剧情"",""惊悚""]"," 美国"," 英语 / 法语 / 意大利语","[""2010-09-01(威尼斯电影节)"",""2010-12-17(美国)""]"," 夺命黑天鹅 / 霸王别鹅(豆友译名)",http://www.imdb.com/title/tt0947798
人再囧途之泰囧,7.4,439351,"[""徐峥""]","[""徐峥"",""丁丁"",""束焕""]","[""徐峥"",""王宝强"",""黄渤"",""陶虹"",""谢楠"",""范冰冰""]","[""喜剧""]"," 中国大陆"," 汉语普通话 / 英语 / 泰语","[""2012-12-12(中国大陆)""]"," 泰囧 / 人在囧途2 / Lost in Thailand",http://www.imdb.com/title/tt2459022
贫民窟的百万富翁,8.5,401087,"[""丹尼·博伊尔"",""洛芙琳·坦丹""]","[""西蒙·博福伊"",""维卡斯·史瓦卢普""]","[""戴夫·帕特尔"",""沙鲁巴·舒克拉"",""亚尼·卡普"",""Rajendranath Zutshi"",""吉尼瓦·塔瓦尔"",""芙蕾达·平托"",""伊尔凡·可汗"",""Azharuddin Mohammed Ismail"",""阿什·马赫什·舍德卡"",""马赫什·曼杰瑞卡"",""麦活·米泰尔""]","[""剧情"",""爱情""]"," 英国 / 美国"," 英语 / 印地语 / 法语","[""2009-03-26(中国大陆)"",""2008-08-30(特柳赖德电影节)"",""2009-01-09(英国)""]"," 贫民百万富翁(台) / 一百万零一夜(港) / 贫民富翁 / 山寨富翁 / 阳光小阿三(豆友译名)",http://www.imdb.com/title/tt1010048
